time,reactor,Acetic_acid,Propionic_acid,Isobutyric_acid,Butyric_acid,Isovaleric_acid,Valeric_acid
144,1,694.8092482,423.0189497,15.57013052,194.2255111,44.99076062,62.4919603
144,2,676.3479967,451.3871287,27.59793635,206.8696253,40.09577213,58.72956238
144,3,729.4995045,396.263996,36.49247488,188.1887023,44.306649,55.73355969
144,4,748.050806,414.2980862,29.36546447,186.5712097,44.9256451,55.71232523
144,5,626.3408645,431.7835807,25.0853946,178.6461554,38.93396872,71.61792481
144,6,697.8619216,470.7499433,23.00425071,185.5826213,36.64628777,61.78604851
144,7,672.4369575,420.5152137,24.54086032,183.1897155,37.96813281,69.45323567
144,8,685.8137246,424.535825,27.86281913,196.1414918,41.62508319,65.04063453
144,9,831.1960565,491.4315363,28.01963432,245.9273801,45.74900003,66.79777919
144,10,747.3511873,445.7814082,30.5584452,176.3368275,43.35389902,55.05407222
144,11,808.4836478,455.9615529,32.27656039,215.4493182,52.37488949,71.33218719
144,12,661.6441847,423.9884371,29.17803213,197.5060477,42.58421667,59.0078502
168,1,662.0402265,404.0379882,26.42783095,207.0057254,47.51549347,64.8634891
168,2,639.5513856,464.5124613,27.22994682,212.4670142,44.31466099,63.18991229
168,3,749.0452952,399.4751548,30.25010543,197.8922749,47.44896691,63.16845284
168,4,782.6586383,405.340704,34.90722275,219.5826623,51.29601595,68.97453802
168,5,662.4317562,442.1176437,29.80915648,223.7965298,47.20588669,80.42128766
168,6,661.733345,476.9612626,23.43220517,213.13717,39.14397895,60.22637876
168,7,659.4027868,410.5974677,27.08202906,181.810579,41.48930223,81.95845299
168,8,697.4281314,429.363216,29.27130766,218.9507354,47.75022827,75.02222697
168,9,790.2293141,462.902243,29.62444385,242.3496114,42.5745037,67.70131588
168,10,724.6682656,408.5318424,27.0565274,181.7939124,43.0527488,63.83342068
168,11,747.8632708,446.9522564,30.97273399,230.4379773,52.60852736,81.39731247
168,12,605.4295813,411.4841749,30.17919163,200.463107,44.07967974,65.24031938
192,1,772.2869459,400.774581,16.03103374,239.6067065,44.93539672,80.16921416
192,2,622.0979052,430.7887015,27.39776632,216.7285614,38.01257566,69.28693996
192,3,848.9792328,389.1214568,27.7801744,212.5923438,45.61448273,76.76464701
192,4,706.4123432,338.5527792,29.81084608,216.9784331,43.25701099,68.84842128
192,5,649.4625968,395.986794,28.34189363,272.6594958,50.87951824,85.62564837
192,6,652.1413438,443.6818073,26.38228749,244.4192954,41.52421333,76.69982868
192,7,677.9716915,384.3658978,26.74788706,210.6741707,37.99856918,103.7183715
192,8,667.8289687,397.4024363,22.42317252,221.7458964,41.20740398,72.90628157
192,9,805.6568936,486.2160471,25.39798902,261.758587,39.20528177,82.75192752
192,10,720.9654152,352.8890009,23.27568035,203.7986029,38.63907394,90.16604121
192,11,837.8942585,454.3159198,26.18183439,229.2041362,44.13815565,91.97659449
192,12,630.2076096,430.0167198,21.55991863,219.8359183,42.58547307,80.92609463
216,1,721.9072218,335.3361463,24.8865173,216.2438245,44.20802617,67.05082266
216,2,591.218216,366.3829766,23.54246867,228.3388128,31.61679647,78.76053051
216,3,804.4789999,338.7440913,25.40341385,218.2948835,48.01141519,64.27480429
216,4,739.49225,336.0586294,33.00612247,252.6551194,44.70489503,91.4218288
216,5,600.772278,323.6306709,20.25841945,274.1302455,43.56994724,96.55003648
216,6,605.886885,376.0042198,18.41322496,233.2138961,38.82446592,75.98284718
216,7,699.414695,341.1636336,22.69494795,203.362312,47.98980989,120.5779965
216,8,748.7959897,396.6384474,24.67453754,250.1272629,44.15288456,81.77506773
216,9,788.0843211,427.0667775,27.29731216,258.5965474,41.67962076,88.80331637
216,10,693.656965,333.0936525,24.21238828,205.234125,41.93443869,93.00043807
216,11,725.3346478,327.2393856,23.57608714,183.2444834,49.47315833,115.4733782
216,12,605.0517148,370.502328,22.36090956,195.2605234,49.04666738,85.67706704
240,1,777.9227239,341.7931335,15.59985473,249.156597,47.96210619,86.60063321
240,2,660.2525098,331.4628997,26.07156943,285.9520757,38.92194107,105.288621
240,3,783.9514934,336.7731968,25.98633047,253.0942413,54.31567506,74.88292057
240,4,741.5757905,325.9129229,29.39048755,279.0462611,54.82297691,92.55639953
240,5,598.147866,322.601739,19.62166017,294.8197202,48.35672315,99.68477559
240,6,669.902659,407.2903701,17.85613244,246.4724617,43.55294713,90.54087154
240,7,644.4053117,283.5718712,24.54793973,178.0954437,61.71011611,139.8821584
240,8,664.5979748,338.9076214,22.42498761,256.3884858,43.72935583,70.00789636
240,9,824.3287488,388.0661822,27.57481882,295.5256996,49.77644926,97.81865374
240,10,715.2497552,307.4395397,23.27322473,211.0928797,45.30171561,117.9632439
240,11,768.1608545,287.8778572,25.63423314,191.953912,67.33280616,146.6215945
240,12,714.9815754,391.1971822,22.81563215,235.0478208,56.03116335,101.5620972
264,1,746.6862668,333.8424268,24.92128406,273.4645384,47.60533597,82.82803055
264,2,602.3995952,265.1811654,23.39525418,265.929117,51.59967897,103.2910225
264,3,756.1899338,326.6816406,21.82445853,254.4014751,50.80693679,74.37539866
264,4,724.5883836,272.076983,22.10163837,264.0073467,68.50547022,104.7036761
264,5,537.8367218,289.7485981,21.39588251,281.9426351,51.40182927,98.59737365
264,6,690.3084042,417.2986578,17.55164316,262.6882781,47.67888872,93.30522021
264,7,686.1619134,262.6997886,23.48603032,170.100711,76.75420272,148.1416352
264,8,749.0149185,379.3257352,22.59898336,290.6608972,47.00708985,75.26286076
264,9,785.2573762,352.1535649,24.13479193,289.9635384,51.50139923,95.51471319
264,10,709.7481305,270.5431713,24.91346927,218.0388178,59.69175247,133.3662465
264,11,766.5678541,235.5138173,24.21001291,197.0868065,81.80208341,162.1945326
264,12,664.7749607,335.1534695,23.42884347,221.3954929,55.08509164,91.724291
288,1,714.3399141,347.7793707,13.66987942,273.3605582,48.35419102,77.19702585
288,2,652.9014618,258.4257736,23.12929315,294.9862161,62.08975288,102.344947
288,3,752.8366703,330.2178551,21.37852247,243.6640184,56.30784753,80.27956631
288,4,661.2239941,236.8643354,25.56266276,206.6001709,82.51907414,120.6565944
288,5,607.9469756,316.4079472,17.24239293,311.3347696,57.0106409,113.9931464
288,6,728.4565268,446.6790636,18.40351192,256.4939346,48.48954915,90.81116456
288,7,678.2087319,220.2725129,18.44435863,161.1830667,86.96596879,158.9871754
288,8,730.8032901,374.5356351,22.38360979,287.5115438,52.31029587,77.35903667
288,9,870.4451777,380.2140615,25.77373498,337.3007314,62.14555168,99.79208282
288,10,667.7063178,230.2328441,22.61755442,237.4423868,80.67900863,157.7272779
288,11,698.7362384,209.5283394,23.39034878,187.7072434,88.81883512,159.1017024
288,12,685.201169,318.4569188,22.03975622,241.9147892,47.75846254,94.78697197
312,1,688.8715455,365.6984013,22.19325201,260.2398382,50.99607864,78.60516952
312,2,612.6794583,292.3618425,21.10791575,293.4739807,67.33268536,90.90686209
312,3,716.7970633,339.9881336,22.38976999,228.7561169,57.80249393,78.71774161
312,4,697.5591708,250.6665332,26.11009184,203.657522,94.68697323,153.2352538
312,5,623.3200295,377.824794,17.33547733,332.4346093,64.29006305,100.3574882
312,6,667.4158956,449.7976762,18.7018089,241.1397805,40.74255407,83.46816404
312,7,626.0084995,231.8005029,19.07022448,158.8857333,96.46460999,153.2744128
312,8,747.8848141,388.8138515,22.29254184,286.1882181,57.34121995,70.92064281
312,9,846.1785975,404.3516588,28.73179842,386.5187625,70.48896384,97.71771635
312,10,585.1276127,224.43594,23.15456719,228.1958161,92.61008052,154.856292
312,11,689.6706194,220.0223731,25.99586696,208.3273909,106.3445213,177.8346391
312,12,672.2468803,352.1653356,21.35092121,278.2428361,42.68755584,102.6005604