run,time,reactor,sample
T49,144,1,114471
T49,144,2,114472
T49,144,3,114473
T49,144,4,114474
T49,144,5,114475
T49,144,6,114476
T49,144,7,114477
T49,144,8,114478
T49,144,9,114479
T49,144,10,114480
T49,144,11,114481
T49,144,12,114482
T49,192,1,114483
T49,192,2,114484
T49,192,3,114485
T49,192,4,114486
T49,192,5,114487
T49,192,6,114488
T49,192,7,114489
T49,192,8,114490
T49,192,9,114491
T49,192,10,114492
T49,192,11,114493
T49,192,12,114494
T49,240,1,114495
T49,240,2,114496
T49,240,3,114497
T49,240,4,114498
T49,240,5,114499
T49,240,6,114500
T49,240,7,114501
T49,240,8,114502
T49,240,9,114503
T49,240,10,114504
T49,240,11,114505
T49,240,12,114506
T49,288,1,114507
T49,288,2,114508
T49,288,3,114509
T49,288,4,114510
T49,288,5,114511
T49,288,6,114512
T49,288,7,114513
T49,288,8,114514
T49,288,9,114515
T49,288,10,114516
T49,288,11,114517
T49,288,12,114518
NC,NC,NC,114519
NC,NC,NC,114520
T48,144,1,114521
T48,144,2,114522
T48,144,3,114523
T48,144,4,114524
T48,144,5,114525
T48,144,6,114526
T48,144,7,114527
T48,144,8,114528
T48,144,9,114529
T48,144,10,114530
T48,144,11,114531
T48,144,12,114532
T48,192,1,114533
T48,192,2,114534
T48,192,3,114535
T48,192,4,114536
T48,192,5,114537
T48,192,6,114538
T48,192,7,114539
T48,192,8,114540
T48,192,9,114541
T48,192,10,114542
T48,192,11,114543
T48,192,12,114544
T48,240,1,114545
T48,240,2,114546
T48,240,3,114547
T48,240,4,114548
T48,240,5,114549
T48,240,6,114550
T48,240,7,114551
T48,240,8,114552
T48,240,9,114553
T48,240,10,114554
T48,240,11,114555
T48,240,12,114556
T48,288,1,114557
T48,288,2,114558
T48,288,3,114559
T48,288,4,114560
T48,288,5,114561
T48,288,6,114562
T48,288,7,114563
T48,288,8,114564
T48,288,9,114565
T48,288,10,114566
T48,288,11,114567
T48,288,12,114568
NC,NC,NC,114569
NC,NC,NC,114570
NC,NC,NC,114571
NC,NC,NC,114572
T49,0,0,114573
T48,0,0,114574
T49,0,0,114575
T48,0,0,114576
T49,0,0,114577
T48,0,0,114578
T49,0,0,114579
T48,0,0,114580