genome,phylum,class,order,family,genus,species
10674_0003_idba_bin.96,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia intestinalis
10674_0009_idba_bin.117,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Saccharofermentans,Saccharofermentans sp902775565
10674_min2k_bin.1792,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2912,UBA2912 sp900317095
10675_0017_idba_bin.63,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp002449595
10676_0049_idba_bin.70,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Saccharofermentans,Saccharofermentans sp902782235
10676_min2k_bin.2753,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2912,UBA2912 sp900314845
10676_min2k_bin.3258,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp902783385
10676_min2k_bin.3406,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_R,Clostridium_R vitabionis
10677_0019_idba_bin.218,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp900321785
10677_0019_idba_bin.37,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2912,UBA2912 sp902787905
10677_0023_idba_bin.13,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2912,UBA2912 sp900314775
10677_0023_idba_bin.239,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp900314905
10677_0034_idba_bin.198,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,RUG13615,RUG13615 sp902790905
10677_min2k_bin.3664,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Bilifractor,Bilifractor sp902797025
10677_min2k_bin.4359,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA6987,UBA6987 sp902797385
10678_0024_idba_bin.135,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp900317555
10678_0051_idba_bin.51,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp900101015
10678_min2k_bin.2957,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791,CAG-791 sp900313745
Megasphaera_elsdenii_2410,Firmicutes_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera,Megasphaera elsdenii
Megasphaera_hexanoica_MH,Firmicutes_C,Negativicutes,Veillonellales,Megasphaeraceae,Caecibacter,Caecibacter massiliensis
Pseudoramibacter_alactolyticus_ATCC23263,Firmicutes_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter alactolyticus
Ruminococcaceae_CPB6,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacterium,Caproicibacterium sp002119605
malmuthuge.128,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia timonensis
malmuthuge.158,Firmicutes_A,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Pseudoramibacter fermentans
malmuthuge.164,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_I,Eubacterium_I sp000270305
malmuthuge.34,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Bilifractor,Bilifractor sp900318755
malmuthuge.79,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas butyriciproducens