accession,group
SRR26327797,HM
SRR26327798,HM
SRR26327799,LM
SRR26327800,LM
SRR26327801,LM
SRR26327802,HM
SRR26327803,LM
SRR26327804,LM
SRR26327805,HM
SRR26327807,HM
SRR26327808,HM
SRR26327860,LM
SRR26327861,LM
SRR26327862,LM
SRR26327863,HM
SRR26327864,LM
SRR26327865,LM
SRR26327866,HM
SRR26327867,HM
SRR26327869,HM
SRR26327870,LM
SRR26327871,LM
SRR26327872,LM
SRR26327873,HM
SRR26327874,LM
SRR26327875,LM
SRR26327876,HM
SRR26327877,HM
SRR26327878,HM
SRR26327880,LM
SRR26327881,LM
SRR26327882,LM
SRR26327883,HM
SRR26327884,LM
SRR26327885,LM
SRR26327886,HM
SRR26327887,HM
SRR26328028,HM
SRR26328029,LM
SRR26328031,LM
SRR26328032,LM
SRR26328033,HM
SRR26328034,LM
SRR26328035,LM
SRR26328036,HM
SRR26328037,HM
SRR26328038,HM
SRR26328039,LM
SRR26328040,LM
SRR26328042,LM
SRR26328049,HM
SRR26327946,LM
SRR26327956,LM
SRR26327966,HM
SRR26327813,HM
SRR26327823,HM
SRR26327831,HM
SRR26327892,LM
SRR26327909,LM
SRR26327910,LM
SRR26327911,HM
SRR26327912,LM
SRR26327913,LM
SRR26327914,HM
SRR26327916,HM
SRR26328056,HM
SRR26328058,LM
SRR26328059,LM
SRR26328060,LM
SRR26328061,HM
SRR26328062,LM
SRR26328063,LM
SRR26328064,HM