VBCF,tea_id
197845,Rusitec T49 126h 1 197845
197846,Rusitec T49 126h 2 197846
197847,Rusitec T49 126h 3 197847
197848,Rusitec T49 126h 4 197848
197849,Rusitec T49 126h 5 197849
197850,Rusitec T49 126h 6 197850
197851,Rusitec T49 126h 7 197851
197852,Rusitec T49 126h 8 197852
197853,Rusitec T49 126h 9 197853
197854,Rusitec T49 126h 10 197854
197855,Rusitec T49 126h 11 197855
197856,Rusitec T49 126h 12 197856
197857,M. hex T1 F2 197857
197858,M. hex T1 F4 197858
197859,M. hex T1 F5 197859
197860,M. hex T1 F6 197860
197861,M. hex T1 L1 197861
197862,M. hex T1 L3 197862
197863,M. hex T1 L4 197863
197864,M. hex T1 L5 197864
197865,M. hex T4 F3 197865
197866,M. hex T4 F4 197866
197867,M. hex T4 F5 197867
197868,M. hex T4 F6 197868
197869,M. hex T4 L1 197869
197870,M. hex T4 L2 197870
197871,M. hex T4 L3 197871
197872,M. hex T4 L4 197872
197873,M. els T1 F1 197873
197874,M. els T1 F2 197874
197875,M. els T1 F4 197875
197876,M. els T1 F6 197876
197877,M. els T1 L1 197877
197878,M. els T1 L2 197878
197879,M. els T1 L4 197879
197880,M. els T1 L6 197880
197881,M. els T2 F1 197881
197882,M. els T2 F2 197882
197883,M. els T2 F3 197883
197884,M. els T2 F4 197884
197885,M. els T2 L1 197885
197886,M. els T2 L3 197886
197887,M. els T2 L5 197887
197888,M. els T2 L6 197888